"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","405463417.11746","487602457.746416","596423607.114715","695304363.031101","764887117.194486","872138715.083799","958463184.357542","1082979720.67039","1245688268.15642","1320474860.3352","1379960893.85475","1531944134.07821","1665100558.65922","1722798882.68156","1873452513.96648","1920111731.84358","1941340782.12291","2021229050.27933","2228491620.11173","2330726256.98324","2424581005.58659","2615083798.88268","2745251396.64804","2498882681.56425","2390502793.29609","2549720670.39106","2534636871.50838","2727849720.67039","2790849162.01117","2962905027.93296","2983636871.50838","3092430167.59777","3202188606.92893","","",
"Africa Eastern and Southern","AFE","GDP (current US$)","NY.GDP.MKTP.CD","19291929319.7389","19701861087.7779","21470351752.549","25704995452.1713","23501645213.0399","26781169143.619","29120191778.8475","30140087527.3353","32841005863.0737","37702959878.0752","40271576262.3334","44427893671.4732","48248522032.6209","62914436873.1306","78165083861.6965","83344078129.3194","83119185675.1995","94884791932.0765","106229533304.483","124361714673.515","156341118201.26","160202197895.597","154499760548.54","159582339117.27","145861804640.118","130296794615.844","146863963813.519","179542370813.491","188796036379.402","194330035504.458","212103223238.104","220521641892.85","219977314187.07","220372083091.291","224511167432.285","252474620174.864","251890012878.89","264855094894.718","249723389130.704","246421647180.525","267613767300.711","241472709667.314","247009474649.695","325890209856.69","404799681394.14","470509677443.763","532138977188.973","611561775265.04","666291101240.713","669232727887.427","803688606377.652","896256075479.174","913197374145.501","927655465312.341","956318682604.139","893099720325.014","854751939466.57","962268990853.851","984032027895.521","977809241188.771","898474072150.353",
"Afghanistan","AFG","GDP (current US$)","NY.GDP.MKTP.CD","537777811.111111","548888895.555556","546666677.777778","751111191.111111","800000044.444444","1006666637.77778","1399999966.66667","1673333417.77778","1373333366.66667","1408888922.22222","1748886595.55556","1831108971.11111","1595555475.55556","1733333264.44444","2155555497.77778","2366666615.55556","2555555566.66667","2953333417.77778","3300000108.88889","3697940409.61098","3641723321.99546","3478787909.09091","","","","","","","","","","","","","","","","","","","","","4055179566.34981","4515558808.10994","5226778808.89209","6209137624.77181","6971285594.68013","9747879531.86311","10109225813.6696","12439087076.7667","15856574731.441","17804292964.1045","20001598505.7042","20561069558.2152","20484885119.7348","19907111418.9938","18017749073.6362","18869945678.4215","18353881129.5246","19291104007.6135","19807067268.1084",
"Africa Western and Central","AFW","GDP (current US$)","NY.GDP.MKTP.CD","10407321640.3539","11131302981.479","11946843968.9628","12680220415.2601","13842621612.1733","14866816736.9203","15837474342.612","14430648806.7267","14884699923.3509","16887028427.8935","23511477699.804","20838908163.4782","25272340677.8719","31282962685.6682","44227412162.1058","51459772973.1146","62147555473.8059","65334104528.2934","71220525032.8343","88654314397.8093","112064063500.952","211065184009.677","187218448133.4","138155586596.237","114296077828.18","116541346400.574","107528972026.103","110354025260.946","108975317103.853","101798537787.419","121837737280.177","117491402473.35","118316836021.128","97186773683.6559","85693055813.7602","107403017953.853","119043576285.767","119983265523.38","122621303104.932","130198655013.551","134150161633.262","141862545777.662","170531894804.468","197384166042.614","245856459111.752","302110792974.068","384336309536.004","451866076568.114","553031246170.03","492545833170.889","580217267150.154","658428249866.884","716935231751.071","807818949699.141","846943079513.472","757492080699.648","687484728475.586","680989095100.78","738131279381.972","792078923887.672","786584975143.582",
"Angola","AGO","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","5934073603.54849","5553824463.82274","5553824463.82274","5787823808.69565","6135166254.2408","7558613007.90635","7076793822.60201","8089279284.72241","8775116269.16722","10207922517.1839","11236275842.7358","","","","3390500000","5561222222.22222","7526963963.96396","7649716157.20524","6506619144.60285","6152936539.21955","9129634978.33773","8936063723.20121","15285594828.418","17812705294.325","23552052407.5488","36970918699.2523","52381006892.038","65266452081.386","88538611205.1433","70307163678.238","83799496611.2004","111789686464.441","128052853643.106","136709862831.194","145712200312.505","116193649124.151","101123851090.455","122123822333.59","101353230784.594","89417190341.2533","62306913444.2917",
